City,Country,Lat,Long,Temp,Humidity,Clouds,Winds
Kodīnar,IN,20.7903,70.7031,76.86,66,0,8.55
Zagora,MA,30.3484,-5.8365,72.93,27,0,4.59
Kapaa,US,22.0752,-159.319,82.38,77,20,4.0
Coquimbo,CL,-29.9533,-71.3436,62.33,59,0,12.66
Hobart,AU,-42.8794,147.3294,50.02,92,75,3.0
New Norfolk,AU,-42.7826,147.0587,49.66,81,100,3.0
Takoradze,GH,4.8845,-1.7554,78.35,84,100,6.73
Corcoran,US,36.098,-119.5604,69.96,29,9,7.81
Moss Vale,AU,-34.55,150.3833,54.16,87,12,4.36
Broome,US,42.2506,-75.833,49.84,76,90,0.0
Leningradskiy,RU,69.3833,178.4167,9.34,88,100,7.87
São João da Barra,BR,-21.6403,-41.0511,75.29,83,9,17.45
Portland,US,45.5234,-122.6762,55.9,94,90,1.99
Busselton,AU,-33.65,115.3333,51.08,80,92,5.46
Noumea,NC,-22.2763,166.4572,77.0,99,98,8.99
Rikitea,PF,-23.1203,-134.9692,74.79,82,99,21.36
Hithadhoo,MV,-0.6,73.0833,82.31,74,60,12.88
Morros,BR,-9.4467,-46.3003,79.09,67,61,5.5
Ushuaia,AR,-54.8,-68.3,35.26,87,75,20.71
Pozo Colorado,PY,-23.4923,-58.7972,73.4,91,56,19.82
Tashtagol,RU,52.7657,87.8894,35.98,95,100,6.64
Jamestown,US,42.097,-79.2353,49.59,97,90,4.0
Camocim,BR,-2.9022,-40.8411,81.57,75,78,15.01
Kumul,CN,42.8,93.45,49.08,43,100,5.75
Albany,US,42.6001,-73.9662,53.74,59,94,7.47
Yuanping,CN,38.7153,112.7575,42.73,67,11,0.94
Yulara,AU,-25.2406,130.9889,64.24,39,58,9.22
Waddān,LY,29.1614,16.139,80.13,22,56,11.05
Nome,US,64.5011,-165.4064,30.27,74,75,5.75
Qaanaaq,GL,77.484,-69.3632,-1.84,59,0,8.37
George Town,MY,5.4112,100.3354,79.9,88,20,3.0
Iskateley,RU,67.6803,53.1512,26.33,88,19,9.19
Camacha,PT,33.0833,-16.3333,67.42,60,40,10.36
