City,Lat,Long,Temp,Humidity,Clouds,Winds
Hambantota,6.1241,81.1185,79.14,94,20,8.05
Hermanus,-34.4187,19.2345,53.8,66,45,5.68
Kushima,31.4583,131.2333,60.69,66,100,9.22
Alyangula,-13.8483,136.4192,80.38,80,100,5.48
Lavrentiya,65.5833,-171.0,24.69,77,45,14.32
Grand-Santi,4.25,-54.3833,92.59,43,100,5.12
Erdenet,49.0333,104.0833,27.01,62,0,3.2
Tazovsky,67.4667,78.7,34.63,92,100,10.87
Gigmoto,13.7796,124.39,79.5,85,95,4.36
Touros,-5.1989,-35.4608,85.1,66,14,17.22
Hilo,19.7297,-155.09,71.6,88,90,6.91
Ugoofaaru,5.6667,73.0,80.6,82,100,25.81
Punta Arenas,-53.15,-70.9167,50.11,66,75,32.21
Xining,36.6167,101.7667,43.59,74,39,1.72
Erenhot,43.6475,111.9767,39.22,22,97,9.33
Mataura,-46.1927,168.8643,48.43,99,100,3.87
Vico Equense,40.6598,14.4317,60.53,3,29,1.07
Dikson,73.5069,80.5464,31.26,99,100,3.38
Geraldton,-28.7667,114.6,50.41,81,0,10.36
Arraial do Cabo,-22.9661,-42.0278,71.46,88,75,9.22
Hobart,-42.8794,147.3294,50.2,76,90,1.99
Ushuaia,-54.8,-68.3,42.46,52,75,4.61
Port Elizabeth,-33.918,25.5701,55.09,70,49,12.1
Pisco,-13.7,-76.2167,69.85,64,0,14.97
Pinega,64.7001,43.3936,36.63,96,100,10.98
Puerto Ayora,-0.7393,-90.3518,73.54,87,96,8.01
Praia da Vitória,38.7333,-27.0667,70.75,92,100,16.84
Ajaigarh,24.9,80.2667,79.16,79,20,6.82
Thompson,55.7435,-97.8558,48.36,61,40,4.61
Horsham,51.064,-0.3272,52.75,73,0,2.3
Sitka,57.0531,-135.33,42.69,65,40,0.0
Orchard Homes,46.8633,-114.0484,63.21,32,1,4.61
George Town,5.4112,100.3354,78.89,89,100,0.0
Nabire,-3.3667,135.4833,74.64,85,99,3.65
East London,-33.0153,27.9116,58.03,65,12,17.4
Barrow,71.2906,-156.7887,19.42,79,90,5.75
Arman',59.7,150.1667,16.93,51,100,15.59
Cape Town,-33.9258,18.4232,57.2,66,0,1.99
Busselton,-33.65,115.3333,50.04,77,41,7.45
Harper,4.375,-7.7169,78.73,83,15,5.23
Bluff,-46.6,168.3333,50.94,89,100,15.26
Albany,42.6001,-73.9662,55.33,74,99,1.01
Beohāri,24.05,81.3833,75.18,89,100,6.93
Heihe,50.2441,127.4902,23.49,49,9,3.67
Chui,-33.6971,-53.4616,62.44,47,3,8.97
Ribeira Grande,38.5167,-28.7,72.0,88,75,20.71
Upernavik,72.7868,-56.1549,23.5,55,100,5.37
Jamestown,42.097,-79.2353,50.5,85,90,10.0
Mumford,5.2618,-0.759,79.7,86,11,13.29
Yellowknife,62.456,-114.3525,34.63,99,100,5.99
Nikolskoye,59.7035,30.7861,41.49,74,84,10.2
Kiryat Gat,31.61,34.7642,72.61,66,0,3.78
Shakawe,-18.3667,21.85,74.93,15,0,8.14
Nouadhibou,20.931,-17.0347,73.27,67,0,17.18
Provideniya,64.3833,-173.3,20.97,81,100,12.64
Raduzhny,62.0961,77.475,41.36,90,100,10.71
Rikitea,-23.1203,-134.9692,75.43,74,14,14.12
Longyearbyen,78.2186,15.6401,17.44,62,20,3.44
Oildale,35.4197,-119.0195,79.86,11,1,0.0
Viseu,40.661,-7.9097,63.86,99,100,3.31
Airai,-8.9266,125.4092,61.66,90,7,1.25
Ballybofey,54.8,-7.7833,56.95,98,100,2.91
Avarua,-21.2078,-159.775,77.05,83,40,1.14
Kavieng,-2.5744,150.7967,82.42,71,10,10.18
Pringsewu,-5.3582,104.9744,75.0,94,98,1.21
Ilulissat,69.2167,-51.1,19.42,30,0,37.98
Lüderitz,-26.6481,15.1594,61.16,53,4,27.49
Tabas,33.5959,56.9244,70.12,15,0,1.5
Saskylakh,71.9167,114.0833,14.97,87,100,10.87
Faanui,-16.4833,-151.75,80.2,77,0,19.1
Yangi Marg`ilon,40.4272,71.7189,51.22,30,100,1.54
Tautira,-17.7333,-149.15,82.42,79,40,21.54
Bredasdorp,-34.5322,20.0403,52.29,69,16,2.06
Sydney,-33.8679,151.2073,52.75,90,0,8.01
Norman Wells,65.282,-126.8329,25.5,86,53,1.81
Talara,-4.5772,-81.2719,77.76,57,0,12.66
Ketchikan,55.3422,-131.6461,43.9,77,10,2.75
Aswān,24.0934,32.907,87.03,18,0,13.04
Honiara,-9.4333,159.95,76.84,88,94,4.07
Huarmey,-10.0681,-78.1522,69.15,75,55,11.12
Hofn,64.2539,-15.2082,35.67,97,100,20.4
Laas,46.6166,10.7002,42.85,66,4,2.19
Tuktoyaktuk,69.4541,-133.0374,24.8,100,90,8.05
Dabat,12.9842,37.765,52.63,77,6,1.12
Carutapera,-1.195,-46.02,85.51,64,21,9.89
Saint-Philippe,-21.3585,55.7679,68.92,79,45,15.17
Fare,-16.7,-151.0167,79.95,78,10,19.1
Hastings,50.8552,0.5729,54.23,73,0,10.27
Olafsvik,64.8945,-23.7142,35.58,93,100,20.09
Cidreira,-30.1811,-50.2056,64.11,62,18,6.2
Agde,43.3108,3.4758,60.35,85,90,3.44
